building_size,land_size,price,bedroom_count,bathroom_count,parking_count,property_type,product_depth
135.0,178.0,280000.0,2.0,1.0,1.0,Apartment,standard
135.0,178.0,800000.0,3.0,2.0,2.0,Apartment,standard
135.0,184.0,449000.0,3.0,2.0,1.0,Apartment,feature
135.0,178.0,455000.0,2.0,2.0,2.0,Apartment,standard
135.0,178.0,450000.0,2.0,2.0,1.0,Apartment,feature
158.0,153.0,685000.0,2.0,2.0,2.0,Unit,standard
107.0,153.0,289000.0,2.0,2.0,1.0,Unit,feature
135.0,106.7,429000.0,2.0,2.0,2.0,Apartment,standard
172.0,178.0,559000.0,2.0,2.0,1.0,Apartment,standard
54.0,54.0,377500.0,1.0,1.0,1.0,Unit,feature
135.0,178.0,450000.0,2.0,2.0,2.0,Apartment,feature
76.0,178.0,300000.0,1.0,1.0,0.0,Apartment,feature
98.0,128.0,499000.0,2.0,2.0,1.0,Unit,standard
135.0,264.0,450000.0,4.0,3.0,2.0,Apartment,feature
107.0,153.0,480000.0,3.0,2.0,2.0,Unit,standard
78.0,153.0,325000.0,2.0,2.0,2.0,Unit,feature
192.0,153.0,377500.0,3.0,2.0,2.0,Unit,standard
107.0,153.0,440000.0,1.0,1.0,1.0,Unit,standard
107.0,153.0,377500.0,2.0,2.0,2.0,Unit,feature
107.0,153.0,310000.0,2.0,1.0,0.0,Unit,standard
48.0,153.0,377500.0,1.0,1.0,1.0,Unit,standard
107.0,198.0,399000.0,1.0,1.0,2.0,Unit,standard
107.0,153.0,430000.0,1.0,1.0,1.0,Unit,feature
12.0,153.0,99950.0,0.0,1.0,1.0,Unit,standard
248.0,178.0,450000.0,3.0,2.0,2.0,Apartment,standard
114.0,153.0,610000.0,2.0,2.0,2.0,Unit,standard
210.0,940.0,665000.0,4.0,2.0,5.0,House,premiere
210.0,804.0,555000.0,5.0,2.0,3.0,House,premiere
210.0,878.0,575000.0,3.0,2.0,2.0,House,premiere
210.0,804.0,555000.0,5.0,2.0,4.0,House,premiere
210.0,804.0,435000.0,2.0,1.0,1.0,House,premiere
210.0,804.0,550000.0,3.0,2.0,6.0,House,premiere
210.0,1010.0,555000.0,4.0,4.0,2.0,House,premiere
210.0,830.0,555000.0,3.0,1.0,1.0,House,premiere
210.0,823.0,475000.0,3.0,1.0,3.0,House,standard
171.0,178.0,320000.0,3.0,2.0,2.0,Apartment,premiere
99.5,294.5,365000.0,2.0,1.0,1.0,Townhouse,premiere
107.0,153.0,310000.0,2.0,1.0,1.0,Unit,premiere
173.11,302.0,555000.0,3.0,2.0,2.0,House,premiere
210.0,383.0,419000.0,3.0,1.0,3.0,House,premiere
210.0,804.0,555000.0,4.0,2.0,2.0,House,premiere
287.0,826.0,555000.0,4.0,2.0,4.0,House,premiere
98.0,153.0,330000.0,2.0,2.0,2.0,Unit,standard
210.0,815.0,560000.0,3.0,2.0,2.0,House,premiere
210.0,804.0,555000.0,4.0,3.0,4.0,House,premiere
210.0,801.0,555000.0,2.0,1.0,3.0,House,premiere
107.0,258.0,290000.0,2.0,1.0,2.0,Unit,premiere
107.0,458.0,377500.0,2.0,1.0,1.0,Unit,premiere
210.0,797.0,570000.0,4.0,2.0,2.0,House,premiere
210.0,804.0,259000.0,1.0,1.0,0.0,House,premiere
210.0,450.0,569000.0,4.0,2.0,2.0,House,premiere
201.0,153.0,439000.0,3.0,2.0,2.0,Unit,premiere
99.5,294.5,645000.0,3.0,1.0,3.0,Townhouse,premiere
241.0,508.0,739000.0,4.0,2.0,2.0,House,premiere
210.0,804.0,399000.0,4.0,1.0,2.0,House,premiere
210.0,804.0,555000.0,3.0,2.0,3.0,House,premiere
210.0,880.0,599000.0,3.0,1.0,2.0,House,premiere
210.0,821.0,555000.0,4.0,3.0,2.0,House,premiere
135.0,178.0,660000.0,3.0,2.0,3.0,Apartment,premiere
135.0,178.0,430000.0,2.0,2.0,2.0,Apartment,standard
307.0,911.0,555000.0,4.0,3.0,5.0,House,premiere
130.0,217.0,555000.0,2.0,2.0,2.0,House,premiere
107.0,103.0,250000.0,1.0,1.0,2.0,Unit,premiere
210.0,804.0,555000.0,5.0,2.0,6.0,House,premiere
230.0,800.0,800000.0,5.0,3.0,2.0,House,standard
210.0,343.0,555000.0,4.0,2.0,2.0,House,premiere
268.0,490.0,540000.0,3.0,2.0,3.0,House,premiere
218.0,178.0,825000.0,3.0,2.0,2.0,Apartment,premiere
210.0,804.0,399000.0,3.0,1.0,2.0,House,premiere
107.0,153.0,820000.0,3.0,2.0,2.0,Unit,premiere
240.0,873.0,549000.0,4.0,2.0,4.0,House,premiere
210.0,804.0,555000.0,5.0,3.0,2.0,House,premiere
180.0,819.0,370000.0,3.0,1.0,4.0,House,premiere
187.0,883.0,555000.0,4.0,2.0,5.0,House,premiere
107.0,256.0,325000.0,2.0,1.0,2.0,Unit,premiere
107.0,153.0,450000.0,2.0,2.0,2.0,Unit,standard
135.0,1.0,430000.0,2.0,2.0,2.0,Apartment,standard
